term,snippet,lead_paragraph,abstract,source,print_page,headline__main,headline__print_headline,pub_date,news_desk,section_name,document_type,web_url,type_of_material,word_count,_id
Oil Price,The deepening troubles threaten to further destabilize a nation facing a dire recession and unbridled crime  as well as food and medicine shortages.,,,The New York Times,1,Once a Cash Cow  Venezuela’s Oil Company Now Verges on Collapse,In Venezuela   State Oil Firm  Teeters on Edge,2017-12-28T01:07:50+0000,Foreign,Americas,article,https://www.nytimes.com/2017/12/27/world/americas/venezuela-oil-pdvsa.html,News,,5a4443f195d0e0246f21e52a
Oil Price,Saudi Arabia  the world’s largest oil producer and the cartel’s de facto leader  had insisted that extending the cuts was necessary.,,,The New York Times,2,Saudi Arabia Drives OPEC to Extend Oil Production Cuts,Saudi Arabia Drives OPEC To Extend Production Cuts,2017-11-30T16:47:39+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/11/30/business/energy-environment/opec-saudi-arabia-oil-meeting.html,News,,5a20363495d0e0246f219731
Oil Price,Examining how a disaster can affect the overall economy  we see why financial markets and economic forecasters are relatively sanguine.,,,The New York Times,2,Markets Are Signaling That Hurricane Harvey Won’t Crush the Economy,Hurricane Likely to Spare U.S. Economy From Wrath,2017-08-28T18:35:25+0000,Upshot,,article,https://www.nytimes.com/2017/08/28/upshot/markets-are-signaling-that-hurricane-harvey-wont-crush-the-economy.html,News,,59a4627b95d0e0246f201e84
Oil Price,Prosecutors said the arrests were part of a campaign against corruption  but critics of the president say he is engaged in a political purge.,,,The New York Times,11,Venezuela Arrests 2 Former Oil Officials  Claiming Corruption,Venezuela Arrests 2 Former Oil Officials  Claiming Corruption,2017-11-30T23:42:48+0000,Foreign,Americas,article,https://www.nytimes.com/2017/11/30/world/americas/venezuela-maduro-oil-corruption-arrests.html,News,,5a20978195d0e0246f219895
Oil Price,In “Windfall ” Meghan O’Sullivan offers a tour of the world and how the rise of cheap gas and fracking are causing shifts in power.,,,The New York Times,10,The Oil and Gas Sector Is Changing — and So Is Geopolitics,Black Gold,2017-12-28T10:00:18+0000,BookReview,Book Review,article,https://www.nytimes.com/2017/12/28/books/review/windfall-meghan-osullivan.html,Review,,5a44c0bc95d0e0246f21e603
Oil Price,The move signals that the country  Europe’s top producer  does not have full confidence in oil’s future.,,,The New York Times,3,Norway’s Wealth Fund Considers Divesting From Oil Shares,Norway  Europe’s Top Oil Producer  Considers Divesting From Oil Shares,2017-11-16T22:54:07+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/11/16/business/energy-environment/norway-fund-oil.html,News,,5a0e171c95d0e0246f216ac5
Oil Price,Fuel prices are up sharply nationwide in Hurricane Harvey’s aftermath  and may be so for months  given the blows to refining  production and shipping.,,,The New York Times,1,Storm’s Impact on Oil Industry Is Felt at Gasoline Pumps,Gas Prices Rise  As Oil Refiners  Race to Recover,2017-09-01T00:13:09+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/08/31/business/energy-environment/storm-oil-industry.html,News,,59a8a61c95d0e0246f202923
Oil Price,The Kremlin has used the company to help Venezuela’s government avoid collapse as Moscow looks to project more economic and political sway.,,,The New York Times,1,Russia Uses Its Oil Giant  Rosneft  as a Foreign Policy Tool,Russia’s Reliance On Oil Diplomacy Opens It to Risk,2017-10-29T22:43:33+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/10/29/business/energy-environment/russia-venezula-oil-rosneft.html,News,,59f659a195d0e0246f212d28
Oil Price,Amin H. Nasser  the leader of the world’s largest oil-producing company  discusses the shift to renewables  efforts to bolster energy prices  and Aramco’s upcoming public offering.,,,The New York Times,,‘Transformation Is Happening’: Saudi Aramco’s Chief on Future of Oil,‘Transformation Is Happening’: Saudi Aramco’s Chief on Future of Oil,2017-10-27T18:23:36+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/10/27/business/energy-environment/saudi-aramco-oil.html,Question,,59f379b195d0e0246f212958
Oil Price,Royal Dutch Shell and Statoil of Norway were leaders in the country’s second auction in recent weeks to explore untapped deepwater reserves.,,,The New York Times,2,Brazil Draws Broad Interest in Offshore Oil Drilling Rights,Brazil Draws Broad Interest in Offshore Drilling Rights,2017-10-27T23:35:06+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/10/27/business/energy-environment/brazil-oil.html,News,,59f3c2b595d0e0246f212a17
