term,snippet,lead_paragraph,abstract,source,print_page,headline__main,headline__print_headline,pub_date,news_desk,section_name,document_type,web_url,type_of_material,word_count,_id
Oil Price,The sale by Petrobras of its Peruvian subsidiary  Petrobras Energia Peru  to the China National Petroleum Company for $2.6 billion  is aimed at shoring up Petrobras’s balance sheet.,,The sale by Petrobras of its Peruvian subsidiary  Petrobras Energia Peru  to the China National Petroleum Company for $2.6 billion  is aimed at shoring up Petrobras’s balance sheet.,The New York Times,,Petrobras of Brazil Sells Peruvian Unit to Chinese Company,Raising Capital,2013-11-13T09:14:13Z,,Dealbook,blogpost,https://dealbook.nytimes.com/2013/11/13/brazilian-oil-company-sells-peruvian-subsidiary-to-chinese-company/,Blog,,52838a1b38f0d841c37d1126
Oil Price,The major producers face steady drops in profit margins as natural gas shifts the energy matrix.,,,International Herald Tribune,,An Uphill Climb for the Oil Giants,An Uphill Climb for the Oil Giants,2013-10-01T00:00:00Z,Business,Energy & Environment ,article,https://www.nytimes.com/2013/10/01/business/energy-environment/an-uphill-climb-for-the-oil-giants.html,An Analysis; News Analysis,,524a11bc38f0d8198973f722
Oil Price,The livelihood of a fishing community in Uran region of Maharashtra is affected by frequent oil spills  the latest one caused by a pipeline burst on Monday.,,The livelihood of a fishing community in Uran region of Maharashtra is affected by frequent oil spills  the latest one caused by a pipeline burst on Monday.,The New York Times,,Oil Spills Becoming Frequent Hazard for Fishermen Near Mumbai,,2013-10-10T10:39:19Z,,Asia Pacific,blogpost,https://india.blogs.nytimes.com/2013/10/10/oil-spills-becoming-frequent-hazard-for-fishermen-near-mumbai/,Blog,,5256bda638f0d8198974171b
Oil Price,Although Eni encountered setbacks in almost all of its business lines  net income rose and operating income beat analyst estimates.,,Italian oil company Eni reports adjusted third-quarter profit of 1.2 billion euros  down 29 percent from year-ago quarter.,The New York Times,8,Profit Surpasses Forecasts at Italian Oil Giant Eni,As Turmoil Continues  Eni Exceeds Forecasts,2013-10-31T00:00:00Z,Business,,article,https://www.nytimes.com/2013/10/31/business/profit-surpasses-forecasts-at-italian-oil-giant.html,News,,5270e56338f0d83b1c1398ef
Oil Price,A little known market in ethanol credits arose after financial institutions amassed millions of them — just as refiners were looking to buy more credits to meet an expanding federal requirement.,,,The New York Times,1,Wall St. Exploits Ethanol Credits  and Prices Spike,Wall St. Exploits Ethanol Credits  And Prices Spike,2013-09-15T02:00:21+0000,Business,,article,https://www.nytimes.com/2013/09/15/business/wall-st-exploits-ethanol-credits-and-prices-spike.html,News,,523514b638f0d81989737f57
Oil Price,Should OGX  the petroleum exploration and production company founded by the Brazilian entrepreneur Eike Batista  go into bankruptcy  it would be largest in Latin America’s history.,,Should OGX  the petroleum exploration and production company founded by the Brazilian entrepreneur Eike Batista  go into bankruptcy  it would be largest in Latin America’s history.,The New York Times,,Batista's Oil Firm Defaults on Interest Payment,An Oil Company Led by a Brazilian Mogul Takes a Step Closer to a Bankruptcy Filing,2013-10-01T10:49:14Z,,Dealbook,blogpost,https://dealbook.nytimes.com/2013/10/01/batistas-oil-firm-defaults-on-interest-payment/,Blog,,524ae1dc38f0d8198973f91b
Oil Price,The Consumer Price Index rose 0.5 percent in June  with two-thirds of the increase coming from a 6.3 percent jump in gas prices.,,Labor Dept reports that Consumer Price Index rose 0.5 percent in June  with two-thirds of the increase coming from a 6.3 percent jump in gas prices.,The New York Times,8,Gas Raises Consumer Prices  but Inflation Remains Tame,Gas Raises Consumer Prices  but Inflation Remains Tame,2013-07-17T00:00:00Z,Business,Economy,article,https://www.nytimes.com/2013/07/17/business/economy/gas-raises-consumer-prices-but-inflation-remains-tame.html,News,,51e5d9c77e0d9c0839d3026e
Oil Price,Some cash-starved African states are showing an assertiveness that suggests the days of China’s unbridled influence as a mega-investor may be waning.,,Several cash-starved African nations are pushing back against China as it seeks widespread access to their oil wealth  in some cases accusing China of greed or environmental negligence; show of assertiveness suggests that days of China’s unbridled influence as a mega-investor may be waning.,The New York Times,4,China Finds Resistance to Oil Deals in Africa,China Finds Resistance To Oil Deals In Africa,2013-09-18T00:00:00Z,Foreign,Africa,article,https://www.nytimes.com/2013/09/18/world/africa/china-finds-resistance-to-oil-deals-in-africa.html,News,,5238e39e38f0d81989738f19
Oil Price,As producers tap more oil and gas  transporting it becomes a bigger problem.,,North American shale boom has exposed shortcomings in America's transportation and infrastructure system as producers try to determine how to move product to market.,The New York Times,6,Unplugging Bottlenecks in Oil and Gas Deliveries,Unplugging Bottlenecks in Oil and Gas Deliveries,2013-10-09T00:00:00Z,Business,Energy & Environment ,article,https://www.nytimes.com/2013/10/09/business/energy-environment/unplugging-bottlenecks-in-oil-and-gas-deliveries.html,News,,52549ad138f0d81989741134
Oil Price,American consumers are using less gasoline  and despite upheaval in the Middle East and elsewhere  domestic oil production and other sources should ease supply issues for now.,,Global oil prices may be entering a period of relative stability  owing to number of factors including increase in worldwide production  proliferation of technology and improvements in fuel efficiency.,The New York Times,1,Oil Shocks Ahead? Probably Not,Is Stability The New Normal?,2013-10-09T00:00:00Z,Business,Energy & Environment ,article,https://www.nytimes.com/2013/10/09/business/energy-environment/oil-shocks-ahead-probably-not.html,News,,525478b638f0d819897410ca
Oil Price,Thieves in Nigeria steal an estimated 100 000 barrels of oil a day  and the country’s politicians and security officials are among those profiting  a report said.,,British research group Chatham House reports thieves in Nigeria steal an estimated 100 000 barrels of oil a day  and country’s politicians and security officials are among those profiting; suggests that high oil prices have contributed to the incentive to steal.,The New York Times,4,As Oil Thieves Bleed Nigeria  Report Says  Officials Profit,As Oil Thieves Bleed Nigeria  Report Says  Officials Profit,2013-09-20T00:00:00Z,Foreign,Africa,article,https://www.nytimes.com/2013/09/20/world/africa/nigerias-politicians-profit-from-industrial-scale-oil-theft-report-says.html,News,,523b6e9938f0d8198973a54d
Oil Price,Unlike oil  which is a globally traded commodity  gas is priced depending on location and the particular arrangement under which it is sold.,,,International Herald Tribune,,Gas Prices Moving Away From Link to Oil,Gas Prices Moving Away From Link to Oil,2013-06-19T00:00:00Z,Business,Energy & Environment ,article,https://www.nytimes.com/2013/06/19/business/energy-environment/gas-prices-moving-away-from-link-to-oil.html,Special Report,,51c0ef277e0d9c0839d29493
Oil Price,A striking militia opened the valves on a pipeline between two major western oil fields and Mediterranean port terminals.,,More than one-third of Libya's oil production comes back on line after striking militia opened valves on critical pipeline between two major western oil fields and Mediterranean port terminals outside Tripoli; protests and strikes by militant groups that overthrew Libyan dictator Col Muammar el-Qaddafi reduced Libya’s oil production to 10 percent of its capacity  pushing up global oil prices and threatening to make Prime Minister Ali Zeidan’s weak interim government look impotent.,The New York Times,3,Pipeline Reopens in Libya  Bolstering Oil Production,Pipeline Reopens in Libya  Bolstering Oil Production,2013-09-21T00:00:00Z,Business,Global Business,article,https://www.nytimes.com/2013/09/21/business/global/pipeline-reopens-in-libya-bolstering-oil-production.html,News,,523cca6c38f0d8198973ade5
Oil Price,Gas prices dropped 6 percent and food prices fell 0.8 percent  leading to a 0.7 percent decline in the producer price index for April.,,Labor Dept reports producer price index fell seasonally adjusted 0.7 percent in April from March; gas prices dropped 6 percent.,The New York Times,7,Wholesale Prices Fall Again,Wholesale Prices Fall Again  While Inflation Stays Low,2013-05-16T00:00:00Z,Business,Economy,article,https://www.nytimes.com/2013/05/16/business/economy/wholesale-prices-fall-again-while-inflation-remains-low.html,News,,519413ab40e9ec457e2a1889
Oil Price,The move came in response to a lawsuit filed by the Nez Perce tribe and an environmental group  which charged that the Forest Service failed to enforce its own rules to protect the environment through the corridor.,,Federal Judge B Lynn Winmill orders halt to more shipments of immense loads of oil field equipment through national forest in Idaho  pending a broad review of effects on the route; review will be conducted by the United States Forest Service in consultation with the Nez Perce Indians  whose tribal rights and lands near the forest route were central to judge's ruling.,The New York Times,12,Judge Blocks Shipment of Oil Equipment Through Idaho Forest,Judge Blocks Shipment of Oil Equipment Through Idaho Forest,2013-09-14T00:00:00Z,National,,article,https://www.nytimes.com/2013/09/14/us/judge-blocks-shipment-of-oil-equipment-through-idaho-forest.html,News,,5234569a38f0d819897375de
Oil Price,The actions are jeopardizing the national economy and tightening world oil supplies at a time when unrest is spreading in the Middle East.,,Protests and strikes at several large export terminals and oil fields are throttling Libya’s daily oil production to one-tenth its capacity; actions are jeopardizing the national economy and tightening world oil supplies at a time when unrest is spreading in the Middle East; Libyan government issues arrest warrants for strike leaders  setting up a potentially critical showdown.,The New York Times,4,In Libya  Unrest Brings Oil Industry to Standstill,In Libya  Unrest Brings Oil Industry To Standstill,2013-09-13T00:00:00Z,Foreign,Africa,article,https://www.nytimes.com/2013/09/13/world/africa/in-libya-unrest-brings-oil-industry-to-standstill.html,News,,523326b638f0d8062fddf8e9
Oil Price,Despite turmoil in the Middle East and potential Western involvement in the Syrian crisis  the price of oil has been relatively stable and the price of gas this weekend will be lower than it was in the last two years.,,,The New York Times,,Lower Labor Day Gas Prices,,2013-08-30T00:00:00Z,Business Day,,multimedia,https://www.nytimes.com/interactive/2013/08/30/business/Lower-Labor-Day.html,Interactive Feature,,522126c438f0d8740ac9ce48
Oil Price,A panel created after Hurricane Katrina as an apolitical force for flood control filed a lawsuit against nearly 100 oil and gas companies  arguing that they neglected to fix damage to wetlands.,,Southeast Louisiana Flood Protection Authority  panel of state appointees created after Hurricane Katrina to be largely insulated from politics  has filed lawsuit against nearly 100 oil and gas companies; suit argues that companies have unlawfully neglected to fix decades of damage they caused to Louisiana wetlands  making flooding from hurricanes more dangerous and flood protection vastly more expensive.,The New York Times,14,Facing Fire Over Challenge to Louisiana’s Oil Industry,Facing Fire Over Challenge to Louisiana’s Oil Industry,2013-09-01T00:00:00Z,National,,article,https://www.nytimes.com/2013/09/01/us/facing-fire-over-challenge-to-louisianas-oil-industry.html,News,,522299dd38f0d8740ac9d07a
Oil Price,Asset sales show that the company is making progress on improving its balance sheet  but its financial straits have made it tough to secure top-notch valuations.,,Asset sales show that the company is making progress on improving its balance sheet  but its financial straits have made it tough to secure top-notch valuations.,The New York Times,,Chesapeake Discovers the Price of a Costly Quest for Oil,,2013-07-03T15:33:02Z,,Dealbook,blogpost,https://dealbook.nytimes.com/2013/07/03/chesapeake-discovers-the-price-of-a-costly-quest-for-oil/,Blog,,51d47deb7e0d9c0839d2dd75
Oil Price,The suggested policy changes could reinvigorate the country’s oil industry and ease American dependence on OPEC  experts say.,,Oil industry experts say sweeping reform suggested by Pres Enrique Pena Nieto for Mexico's energy laws has potential not only to return country to early-1980s heyday of energetic oil drilling  but also to further reduce United States' dependence on OPEC products.,The New York Times,1,Oil Reforms by Mexico May Upend Markets,Oil Reforms By Mexico May Upend Markets,2013-08-14T00:00:00Z,Business,Global Business,article,https://www.nytimes.com/2013/08/14/business/global/in-mexico-a-proposal-to-revamp-oil-policy.html,News,,520ad6ad38f0d8740ac8b5cb
Oil Price,Scientists have found that mutations to a single gene of the oil palm tree  a huge global industry  can raise the oil yield of the tree by as much as 30 percent.,,,The New York Times,,Looking at Oil Palm’s Genome for Keys to Productivity,,2013-07-24T17:00:46+0000,Science,,article,https://www.nytimes.com/2013/07/24/science/looking-at-oil-palms-genome-for-keys-to-productivity.html,News,,51f00a4c38f0d8431a75b4b4
Oil Price,Chevron said net income fell 6 percent in the third quarter as weak refining results and higher operating costs offset higher oil and gas production and prices.,,Chevron says net income has fallen 6 percent in the third quarter as weak refining results and higher operating costs offset higher oil and gas production and prices; posts earnings of $4.95 billion on revenue of $56.6 billion  down from $5.25 billion income on revenue of $55.66 billion in year-ago period.,The New York Times,2,Chevron Earnings Sag on Poor Refining Results,Chevron Earnings Sag On Poor Refining Results,2013-11-02T00:00:00Z,Business,,article,https://www.nytimes.com/2013/11/02/business/chevron-earnings-sag-on-poor-refining-results.html,Brief,,52746cbc38f0d861d9d15e49
Oil Price,The deal came after China lent the Russian state oil company millions in the last 10 years to complete its trans-Siberian pipeline.,,,The New York Times,,Rosneft to Send $60 Billion Worth of Oil to China,,2013-06-21T00:00:00Z,Business,Global Business,article,https://www.nytimes.com/2013/06/21/business/global/rosneft-to-send-60-billion-worth-of-oil-to-china.html,News,,51c385677e0d9c0839d2a993
Oil Price,The police and activists differed on how many Sudanese were killed in protests this week after the government lifted gasoline subsidies  raising the price of gas and other commodities.,,Deadly protests have rocked several Sudanese cities since government lifted subsidies on gasoline  nearly doubling price in increase that is likely to create a domino effect on other goods; activists say at least 100 people are believed to have been killed when government responded forcefully to demonstrations.,The New York Times,10,Sudan Erupts in Deadly Protests as Gas Prices Rise,Sudan Erupts in Deadly Protests as Gas Prices Rise,2013-09-27T00:00:00Z,Foreign,Africa,article,https://www.nytimes.com/2013/09/27/world/africa/sudan-erupts-in-deadly-protests-as-gas-prices-rise.html,News,,5244dfbe38f0d8198973d062
Oil Price,The action by the petroleum company OGX was the culmination of a decline that had been apparent for months.,,The action by the petroleum company OGX was the culmination of a decline that had been apparent for months.,The New York Times,,Bankruptcy Filing Is a Stunning Fall for a Brazilian Tycoon,Bankruptcy Filing Is a Stunning Fall for a Brazilian Tycoon,2013-10-30T15:23:20Z,,Dealbook,blogpost,https://dealbook.nytimes.com/2013/10/30/brazilian-energy-company-ogx-files-for-bankruptcy-protection/,Blog,,52715d5438f0d869cf22d481
Oil Price,A race to develop cleaner technologies is one part of an industrywide campaign in Canada aimed at winning the Obama administration’s approval for a pipeline extension.,,Race to develop cleaner technologies is one part of industrywide campaign in Canada aimed at winning Obama administration’s approval for Keystone XL pipeline.,The New York Times,1,In Bid for Keystone  Visions of a Greener Pipeline,Visions of a Greener Pipeline,2013-06-27T00:00:00Z,Business,Energy & Environment ,article,https://www.nytimes.com/2013/06/27/business/energy-environment/oil-industry-in-canada-bolsters-efforts-for-cleaner-production.html,News,,51cb518a7e0d9c0839d2c70f
Oil Price,The British oil company exceeded analysts&#8217; forecasts by 15 percent  and plans to continue asset sales and dispensing money to shareholders.,,BP reports third-quarter profit of $3.5 billion  down 34 percent from year-ago quarter; will increase its quarterly dividend by 5.6 percent  to 9.5 cents a share.,The New York Times,3,BP Increases Its Dividend as Earnings Beat Forecasts,BP Increases Its Dividend As Earnings Beat Forecasts,2013-10-30T00:00:00Z,Business,International Business,article,https://www.nytimes.com/2013/10/30/business/international/bp-beats-forecasts-plans-to-raise-dividend.html,News,,526f89e938f0d81489d168e5
